14.25,0.0728,0.0431,0.0242,0.0110,0.0720,0.1168,0.0811,0.0309,0.0291,0.1231
14.5,0.0844,0.0518,0.0268,0.0275,0.0944,0.1244,0.0870,0.0326,0.0401,0.1395
14.75,0.0958,0.0606,0.0293,0.0434,0.1161,0.1315,0.0925,0.0342,0.0505,0.1548
15,0.1068,0.0693,0.0315,0.0588,0.1367,0.1379,0.0977,0.0355,0.0603,0.1690
15.25,0.1175,0.0779,0.0336,0.0734,0.1563,0.1438,0.1026,0.0367,0.0695,0.1821
15.5,0.1276,0.0862,0.0354,0.0873,0.1745,0.1492,0.1071,0.0377,0.0781,0.1942
15.75,0.1371,0.0943,0.0370,0.1004,0.1916,0.1540,0.1113,0.0386,0.0861,0.2053
16,0.1460,0.1020,0.0385,0.1126,0.2074,0.1583,0.1151,0.0393,0.0936,0.2156
16.25,0.1542,0.1094,0.0396,0.1241,0.2219,0.1621,0.1186,0.0399,0.1007,0.2250
16.5,0.1616,0.1163,0.0406,0.1348,0.2351,0.1655,0.1217,0.0403,0.1072,0.2336
16.75,0.1684,0.1227,0.0414,0.1448,0.2471,0.1684,0.1247,0.0407,0.1133,0.2415
17,0.1744,0.1287,0.0421,0.1541,0.2579,0.1711,0.1273,0.0409,0.1190,0.2489
17.25,0.1798,0.1342,0.0425,0.1626,0.2675,0.1733,0.1297,0.0411,0.1243,0.2556
17.5,0.1845,0.1392,0.0429,0.1704,0.2760,0.1753,0.1318,0.0411,0.1293,0.2619
17.75,0.1887,0.1437,0.0431,0.1775,0.2833,0.1770,0.1338,0.0411,0.1339,0.2677
18,0.1924,0.1478,0.0432,0.1840,0.2895,0.1785,0.1355,0.0411,0.1382,0.2731
18.25,0.1956,0.1515,0.0432,0.1898,0.2948,0.1797,0.1370,0.0409,0.1421,0.2781
18.5,0.1984,0.1548,0.0431,0.1949,0.2991,0.1808,0.1384,0.0408,0.1458,0.2828
18.75,0.2008,0.1578,0.0429,0.1994,0.3026,0.1816,0.1396,0.0406,0.1492,0.2871
19,0.2029,0.1603,0.0427,0.2033,0.3054,0.1823,0.1406,0.0403,0.1523,0.2910
19.25,0.2046,0.1625,0.0424,0.2066,0.3075,0.1829,0.1415,0.0400,0.1552,0.2946
19.5,0.2060,0.1644,0.0421,0.2095,0.3091,0.1833,0.1423,0.0396,0.1579,0.2979
19.75,0.2072,0.1659,0.0418,0.2118,0.3101,0.1837,0.1430,0.0393,0.1604,0.3008
20,0.2081,0.1672,0.0414,0.2138,0.3106,0.1839,0.1436,0.0389,0.1626,0.3034
20.25,0.2087,0.1681,0.0410,0.2153,0.3107,0.1841,0.1442,0.0384,0.1647,0.3056
